feature,n,pearson_r,run,target
duration_sec,60,-0.028600746305150932,V16.1,snr
duration_sec,60,-0.025837928026645144,V16.1,local_snr_p10
duration_sec,60,-0.47839905876526617,V16.1,boundary_local_snr
rms,60,0.4335772664587527,V16.1,snr
rms,60,0.3418168789606921,V16.1,local_snr_p10
rms,60,0.08367227329603001,V16.1,boundary_local_snr
crest,60,-0.010330755980285277,V16.1,snr
crest,60,-0.19260373842407946,V16.1,local_snr_p10
crest,60,-0.08673583369329142,V16.1,boundary_local_snr
silence_frac,60,-0.028788249370169668,V16.1,snr
silence_frac,60,-0.6265365672814636,V16.1,local_snr_p10
silence_frac,60,0.1588414804548715,V16.1,boundary_local_snr
spectral_centroid,60,-0.8235801133609125,V16.1,snr
spectral_centroid,60,0.21556248436855086,V16.1,local_snr_p10
spectral_centroid,60,-0.11780888533126181,V16.1,boundary_local_snr
hf_energy_ratio_3500_9000,60,-0.8105632199342023,V16.1,snr
hf_energy_ratio_3500_9000,60,0.25714185579533655,V16.1,local_snr_p10
hf_energy_ratio_3500_9000,60,-0.13084200933013293,V16.1,boundary_local_snr
inserted_silence_sec,60,0.019233252816616277,V16.1,snr
inserted_silence_sec,60,-0.42617185863691537,V16.1,local_snr_p10
inserted_silence_sec,60,0.12013137277586386,V16.1,boundary_local_snr
boundary_error_ratio,60,0.042714133406627344,V16.1,snr
boundary_error_ratio,60,0.1581843064546132,V16.1,local_snr_p10
boundary_error_ratio,60,-0.1463631597376915,V16.1,boundary_local_snr
duration_sec,60,0.033097007758749616,V16.2,snr
duration_sec,60,-0.07724197659273592,V16.2,local_snr_p10
duration_sec,60,-0.4744900597268923,V16.2,boundary_local_snr
rms,60,0.4182015647532442,V16.2,snr
rms,60,0.33796590724624004,V16.2,local_snr_p10
rms,60,0.12464810096937695,V16.2,boundary_local_snr
crest,60,0.14298297896608478,V16.2,snr
crest,60,-0.21107042095013676,V16.2,local_snr_p10
crest,60,-0.05409159126247575,V16.2,boundary_local_snr
silence_frac,60,-0.03354419427724804,V16.2,snr
silence_frac,60,-0.6320571639938307,V16.2,local_snr_p10
silence_frac,60,0.11192504654836753,V16.2,boundary_local_snr
spectral_centroid,60,-0.7451327738867265,V16.2,snr
spectral_centroid,60,0.13653877320944838,V16.2,local_snr_p10
spectral_centroid,60,-0.17373767967060944,V16.2,boundary_local_snr
hf_energy_ratio_3500_9000,60,-0.7474518070144496,V16.2,snr
hf_energy_ratio_3500_9000,60,0.18319115293588595,V16.2,local_snr_p10
hf_energy_ratio_3500_9000,60,-0.19828616253001738,V16.2,boundary_local_snr
inserted_silence_sec,60,0.007439579460228275,V16.2,snr
inserted_silence_sec,60,-0.4491684182710747,V16.2,local_snr_p10
inserted_silence_sec,60,0.029549930132122336,V16.2,boundary_local_snr
boundary_error_ratio,60,-0.05199434338650302,V16.2,snr
boundary_error_ratio,60,0.0969403315357258,V16.2,local_snr_p10
boundary_error_ratio,60,-0.3378000163780822,V16.2,boundary_local_snr
duration_sec,60,0.04177904713259561,V16.3,snr
duration_sec,60,-0.15198762987069953,V16.3,local_snr_p10
duration_sec,60,-0.4493398361792789,V16.3,boundary_local_snr
rms,60,0.4298964783411354,V16.3,snr
rms,60,0.366257829210211,V16.3,local_snr_p10
rms,60,0.09074454857858781,V16.3,boundary_local_snr
crest,60,0.15113121177443126,V16.3,snr
crest,60,-0.21289621916395915,V16.3,local_snr_p10
crest,60,-0.047527823398094686,V16.3,boundary_local_snr
silence_frac,60,-0.031872897237689164,V16.3,snr
silence_frac,60,-0.6052077606477834,V16.3,local_snr_p10
silence_frac,60,0.10520689237965537,V16.3,boundary_local_snr
spectral_centroid,60,-0.7307493100464358,V16.3,snr
spectral_centroid,60,0.09739141739598925,V16.3,local_snr_p10
spectral_centroid,60,-0.19392312345246587,V16.3,boundary_local_snr
hf_energy_ratio_3500_9000,60,-0.7474381530134474,V16.3,snr
hf_energy_ratio_3500_9000,60,0.14222044408897042,V16.3,local_snr_p10
hf_energy_ratio_3500_9000,60,-0.2158627603213232,V16.3,boundary_local_snr
inserted_silence_sec,60,0.007342532939521514,V16.3,snr
inserted_silence_sec,60,-0.43251063163558523,V16.3,local_snr_p10
inserted_silence_sec,60,0.016707306494434544,V16.3,boundary_local_snr
boundary_error_ratio,60,-0.09198497519285424,V16.3,snr
boundary_error_ratio,60,0.16391893442417496,V16.3,local_snr_p10
boundary_error_ratio,60,-0.4256777365497568,V16.3,boundary_local_snr
