max_delta_snr,mean_delta_hf_snr,mean_delta_snr,mode,sample
4.372858056678936,0.7368688840577277,1.5302254814739857,channel_iso,LJ002-0332
8.50578766939941,1.0928901784338059,3.457386922860801,pca,LJ002-0332
3.381949534415927,0.6497835230808455,1.1435203181847913,channel_iso,LJ008-0317
7.885134340708733,1.2222960829660654,3.1287703377606513,pca,LJ008-0317
3.810753476216492,0.7553325320729484,1.3417288508507241,channel_iso,LJ009-0286
8.078853308222094,1.2779420782038298,3.284836658482688,pca,LJ009-0286
3.2902338507922018,0.12916357598662337,1.1059507713726857,channel_iso,LJ010-0065
10.135306223613586,0.272621123182379,4.407474203649408,pca,LJ010-0065
4.04191979910269,0.615300198627477,1.4111228144970867,channel_iso,LJ017-0023
10.150242524566305,1.3712322900858982,4.4794292907824715,pca,LJ017-0023
3.628101996403725,0.3982923896812371,1.242432694585209,channel_iso,LJ019-0236
10.789352789289907,1.019632023173393,4.7927590829395,pca,LJ019-0236
3.0891839459731187,0.6471533061399818,1.0546709575220063,channel_iso,LJ027-0018
7.348553238814912,1.1956196053859158,2.9311337182576005,pca,LJ027-0018
3.260708822072427,0.44807069829245555,1.1036088190481308,channel_iso,LJ035-0030
9.622873324086038,1.103468220813271,4.120647359913931,pca,LJ035-0030
2.924861599803254,0.46772124812188837,0.9813565941539318,channel_iso,LJ038-0152
6.771654072351366,0.7519810227462002,2.572152370129318,pca,LJ038-0152
4.236240506112686,0.36210667310810357,1.4891766429338151,channel_iso,LJ038-0179
10.231232250613125,0.6615238596607446,4.485505640407323,pca,LJ038-0179
3.5144535065577216,0.6167873062979276,1.1977570885978923,channel_iso,LJ043-0145
9.064262180330168,1.3254174182901943,3.7820193506366664,pca,LJ043-0145
3.1902260890465826,0.4417811752415661,1.0734586618286757,channel_iso,LJ047-0094
8.69156842434434,0.9087838533379139,3.6245922061383555,pca,LJ047-0094
