delta_hf_snr_mean,delta_phase_coh_mean,delta_snr_mean,delta_snr_median,mode,n,noise_rel_rms_mean,variance_scale
0.0,0.0,0.0,0.0,channel_iso,24,0.0,0.0
0.11139631192590753,0.0003952661322222939,0.25880610393951303,0.24018899033222318,channel_iso,24,0.07056685109371313,0.005
0.2130710621265679,0.0007415744993421828,0.4931847923802148,0.46108322580875516,channel_iso,24,0.09980499766306243,0.01
0.4182321816651627,0.0014333269662327268,0.9253118005787465,0.8762816766347417,channel_iso,24,0.1409778779570723,0.02
0.9492650106668746,0.0035307585365242596,2.016635663575272,2.0071646756568366,channel_iso,24,0.22278521473809984,0.05
1.7286887544716898,0.007112876822551096,3.376637374974749,3.3467409615962946,channel_iso,24,0.3154343262773362,0.1
0.0,0.0,0.0,0.0,pca,24,0.0,0.0
0.1827913763047646,0.0006704239381684213,1.1779235608168601,1.1759295823222047,pca,24,0.07172595406000032,0.005
0.35272371940645825,0.001243643048736795,2.1091516632238023,2.1482254576824715,pca,24,0.1013744106559953,0.01
0.6763598702735168,0.0024911475678284964,3.479639818451006,3.45649059930318,pca,24,0.14336434559631261,0.02
1.506915235959399,0.006163950181669667,6.0630506253352054,6.233580882757551,pca,24,0.22669465431964278,0.05
2.605544925511254,0.012162399374776417,8.51670419321327,8.749245405250152,pca,24,0.3200001550145306,0.1
